,Name,City,School district,Rating,Test Scores,College Readiness,Lat,Lon,S-T ratio,White,Asian,Black,Hispanic,Average teacher salary
306,Keyport High School,Keyport,Keyport Board Of Education School District,3,4,2,40.42841,-74.1962,8,64%,1%,7%,28%,"164,194"
307,Matawan Reg High School,Aberdeen Township,Matawan-Aberdeen Regional School District,6,7,6,40.411297,-74.22249,11,62%,6%,16%,15%,"69,022"
308,E S C School,Lambertville,Hunterdon County Educational Services Commission School District,N/A,N/A,N/A,40.38517,-74.91778,N/A,11%,<1%,78%,11%,"56,900"
309,Wwindsor  Plainsboro North,Plainsboro Township,West Windsor-Plainsboro Regional School District,8,8,9,40.322426,-74.60069,11,23%,63%,9%,4%,"74,986"
310,Monroe Twp High School,Monroe Township,Monroe Township Board Of Education School District,7,8,8,40.327946,-74.43589,12,58%,28%,4%,8%,"69,142"
311,Raritan High School,Hazlet,Hazlet Township Public School District,5,4,8,40.427525,-74.15131,12,84%,3%,2%,10%,"65,019"
312,Monmouth Cty Voc Tech High School,Hazlet,Monmouth County Vocational School District,N/A,N/A,N/A,40.42595,-74.15198,N/A,89%,N/A,N/A,11%,N/A
313,Keansburg High School,Keansburg,Keansburg School District,1,2,1,40.439953,-74.12386,8,58%,2%,16%,23%,"64,087"
314,Wwindsor  Plainsboro South,West Windsor Township,West Windsor-Plainsboro Regional School District,8,8,10,40.305588,-74.61871,13,27%,62%,5%,5%,"75,094"
315,Holmdel High School,Holmdel,Holmdel Township School District,7,7,9,40.381317,-74.17876,10,73%,17%,2%,5%,"61,883"
316,McVs Sypek Center Vocational School,Pennington,Area Vocational Technical School District Of Mercer County,N/A,N/A,N/A,40.28668,-74.76841,N/A,73%,<1%,9%,18%,N/A
317,Marlboro High School,Marlboro,Freehold Regional High School District,7,6,10,40.3288,-74.2473,15,74%,18%,1%,5%,"72,156"
318,Middletown - North High School,Middletown,Middletown Township Public School District,5,5,6,40.402332,-74.09758,13,87%,2%,3%,6%,"79,961"
319,Hightstown High School,Hightstown,East Windsor Regional School District,5,5,7,40.26085,-74.53129,12,37%,18%,11%,33%,"74,099"
320,Manalapan High School,Manalapan Township,Freehold Regional High School District,6,5,8,40.290073,-74.33518,15,81%,8%,2%,7%,"71,929"
321,Lawrence High School,Lawrenceville,Lawrence Township Public School District,6,6,7,40.266167,-74.73026,11,43%,18%,18%,18%,"69,391"
322,Marine Academy Sci & Tech,Highlands,Monmouth County Vocational School District,9,10,9,40.46028,-73.99969,11,89%,6%,<1%,3%,"75,785"
323,Mercer Jr  Sr High School,Hamilton Township,Mercer County Special Services School District,N/A,N/A,N/A,40.253033,-74.65875,N/A,27%,6%,47%,18%,"74,410"
324,N J Reg Day  Hamilton,Hamilton Township,Mercer County Special Services School District,N/A,N/A,N/A,40.251865,-74.65834,N/A,100,<1%,<1%,<1%,"84,871"
325,McVs Evening School,Trenton,Area Vocational Technical School District Of Mercer County,N/A,N/A,N/A,40.25112,-74.65412,N/A,N/A,N/A,N/A,N/A,N/A
326,McVs Assunpink Vocational School,Trenton,Area Vocational Technical School District Of Mercer County,N/A,N/A,N/A,40.249454,-74.654526,N/A,11%,2%,80%,7%,"65,403"
327,Academy/Full-Time Programs,Trenton,Area Vocational Technical School District Of Mercer County,8,8,10,40.249454,-74.654526,12,28%,31%,21%,19%,"58,144"
328,Middletown - South High School,Middletown,Middletown Township Public School District,6,6,7,40.36328,-74.11519,13,91%,2%,1%,5%,"77,880"
329,Robbinsville High School,Robbinsville Township,Robbinsville Public School District,7,7,9,40.238117,-74.61826,12,67%,24%,3%,5%,"51,798"
330,Ewing High School,Trenton,Ewing Township Public School District,3,3,5,40.25495,-74.79064,14,29%,4%,49%,15%,"68,847"
331,Marie High Katzenbach High School For The Deaf,Trenton,Marie H. Katzenbach School For The Deaf,N/A,N/A,N/A,40.252766,-74.812904,N/A,19%,4%,23%,53%,N/A
332,McVs Health Occupations Center,Hamilton,Area Vocational Technical School District Of Mercer County,N/A,N/A,N/A,40.23009,-74.70853,N/A,N/A,N/A,N/A,N/A,N/A
333,Hamilton North-Nottingham High School,Hamilton Township,Hamilton Township Public School District,3,4,3,40.229744,-74.70929,14,32%,4%,31%,30%,"59,640"
334,Accredited Evening High School,Hamilton,Hamilton Township Public School District,N/A,N/A,N/A,40.22959,-74.70861,N/A,N/A,N/A,N/A,N/A,N/A
335,Freehold Borough High School,Freehold,Freehold Regional High School District,5,5,8,40.267727,-74.268364,14,53%,9%,9%,28%,"69,346"
336,High Technology High School,Middletown,Monmouth County Vocational School District,10,10,10,40.324745,-74.12868,12,40%,53%,2%,2%,"72,009"
337,Hamilton East-Steinert High School,Hamilton Township,Hamilton Township Public School District,4,4,7,40.216232,-74.66182,13,77%,5%,6%,10%,"64,825"
338,Trenton Central High School West,Trenton,Trenton Public School District,1,2,1,40.232258,-74.79247,9,1%,1%,34%,64%,"65,872"
