,Name,City,School district,Rating,Test Scores,College Readiness,Lat,Lon,S-T ratio,White,Asian,Black,Hispanic,Average teacher salary
442,Southern Reg High School,Stafford Township,Southern Regional School District,5,5,6,39.711823,-74.25388,14,90%,1%,2%,7%,"103,854"
443,Deptford Twp High School,Deptford Township,Deptford Township Public School District,4,3,5,39.81183,-75.11081,13,56%,6%,25%,14%,"71,196"
444,New Sharon,Deptford Township,Deptford Township Public School District,N/A,N/A,N/A,39.81183,-75.11081,N/A,67%,13%,7%,7%,"67,755"
445,West Deptford High School,West Deptford,West Deptford Township Public School District,4,4,5,39.85494,-75.16182,16,77%,2%,9%,8%,"99,806"
446,Hammonton High School,Hammonton,Hammonton School District,5,7,3,39.656506,-74.807304,14,74%,1%,3%,19%,"62,799"
447,Woodbury Jr  Sr High School,Woodbury,Woodbury City Public School District,3,3,3,39.83979,-75.15367,12,31%,2%,43%,21%,"80,053"
448,Gateway Reg High School,Woodbury Heights,Gateway Regionalschool District,4,4,6,39.8174,-75.1403,12,81%,2%,6%,9%,"75,005"
449,Bankbridge Regional School,Deptford Township,Gloucester County Special Services School District,N/A,N/A,N/A,39.79088,-75.117714,N/A,58%,2%,23%,13%,"59,935"
450,Gloucester Co Inst Tech,Deptford Township,Gloucester County Vocational-Technical School District,8,7,8,39.788223,-75.12347,14,79%,4%,6%,6%,"71,465"
451,Adult Regional High School,Sewell,Gloucester County Vocational-Technical School District,N/A,N/A,N/A,39.7894,-75.1262,N/A,N/A,N/A,N/A,N/A,N/A
452,Washington Twp High School,Washington Township,Washington Township School District,4,4,6,39.7422,-75.07673,12,80%,6%,8%,5%,"71,070"
453,Williamstown High School,Monroe Township,Monroe Township Public School District,3,3,4,39.68225,-75.01055,13,66%,3%,20%,8%,"59,281"
454,Pinelands Reg High School,Little Egg Harbor Township,Pinelands Regional School District,4,4,5,39.60988,-74.35967,10,86%,2%,2%,9%,"73,803"
455,Pitman High School,Pitman,Pitman Boro Public School District,5,5,5,39.740635,-75.12708,10,89%,3%,3%,3%,"64,905"
456,Paulsboro High School,Paulsboro,Paulsboro Public School District,1,1,2,39.83687,-75.244804,8,38%,1%,49%,10%,"65,933"
457,Glassboro High School,Glassboro,Glassboro Public School District,3,3,5,39.71587,-75.1214,11,46%,3%,35%,10%,"78,678"
458,Ocean County Vocational Technical School Culinary,Little Egg Harbor Township,Ocean County Vocational Technical School District,N/A,N/A,N/A,39.577316,-74.35616,N/A,N/A,N/A,N/A,N/A,N/A
459,Cedar Creek High School,Egg Harbor City,Greater Egg Harbor Regional High School District,4,5,5,39.55176,-74.62804,12,62%,3%,14%,20%,"95,948"
460,Clearview Reg High School,Mullica Hill,Clearview Regional High School District,6,6,7,39.750847,-75.20649,14,84%,4%,6%,4%,"66,991"
461,Clayton High School,Clayton,Clayton Public School District,4,4,4,39.663425,-75.08478,11,50%,3%,27%,12%,"53,584"
462,Delsea Regional High School,Franklin,Delsea Regional High School District,5,5,6,39.60835,-75.065315,13,76%,2%,12%,7%,"69,237"
463,Kingsway Reg High School,Woolwich Township,Kingsway Regional School District,6,5,8,39.761013,-75.29074,14,75%,5%,12%,6%,"51,010"
464,Buena Regional High School,Buena,Buena Regional School District,3,4,3,39.53639,-74.91878,11,57%,1%,17%,25%,"59,498"
465,Absegami High School,Galloway,Greater Egg Harbor Regional High School District,4,5,4,39.480724,-74.51611,12,43%,15%,16%,22%,"104,630"
466,Vineland Preparatory Academy,Vineland,Office Of Education Juvenile Justice Commission School District,N/A,N/A,N/A,39.492558,-74.987976,N/A,12%,N/A,76%,12%,"83,804"
467,Vineland High,Vineland,City Of Vineland Board Of Education School District,2,3,2,39.4775,-74.9725,14,24%,3%,19%,54%,"77,411"
468,Atlantic Cty Inst Of Tech,Hamilton Township,Atlantic County Vocational School District,6,5,8,39.44229,-74.696556,14,34%,5%,21%,37%,"59,681"
469,Oakcrest High School,Hamilton Township,Greater Egg Harbor Regional High School District,3,3,3,39.454792,-74.675545,10,41%,6%,31%,19%,"105,045"
470,Atlantic Co High School,Hamilton Township,Atlantic County Special Services School District,N/A,N/A,N/A,39.43807,-74.694016,N/A,42%,9%,24%,23%,"78,996"
471,Atlantic County Alternative High School,Hamilton Township,Atlantic County Vocational School District,N/A,N/A,N/A,39.43807,-74.694016,N/A,2%,2%,41%,55%,"54,133"
472,Cumberland Co Tech Ed Center,Vineland,Cumberland County Board Of Vocational Education School District,8,8,N/A,39.435207,-75.0552,20,49%,1%,13%,34%,"79,562"
473,Millville Senior High School,Millville,Millville Board Of Education School District,3,3,4,39.39915,-75.01983,11,50%,1%,30%,19%,"67,856"
474,Arthur P Schalick High School,Pittsgrove Township,Pittsgrove Township Board Of Education School District,4,4,6,39.528843,-75.16311,12,73%,1%,10%,11%,"62,803"
475,Egg Harbor Twp High School,Egg Harbor Township,Egg Harbor Township School District,5,5,7,39.394775,-74.62852,12,45%,16%,12%,25%,"68,684"
476,Pleasantville High School,Pleasantville,Pleasantville Public School District,1,1,2,39.40636,-74.52615,11,1%,1%,35%,62%,"87,018"
477,Daretown School,Elmer,Salem County Special Services School District,N/A,N/A,N/A,39.607155,-75.25331,N/A,38%,<1%,41%,17%,N/A
478,Cumberland Reg High School,Bridgeton,Cumberland Regional School District,3,3,3,39.474888,-75.220375,14,48%,2%,23%,23%,"60,893"
479,Mainland Reg High School,Linwood,Mainland Regional High School District,6,6,7,39.346775,-74.57744,12,69%,5%,6%,15%,"79,857"
480,Bridgeton High School,Bridgeton,Bridgeton Public School District,2,2,1,39.437035,-75.24294,10,6%,<1%,25%,68%,"55,917"
481,Cumberland Campus,Bridgeton,Salem County Special Services School District,N/A,N/A,N/A,39.381104,-75.21846,N/A,30%,<1%,34%,35%,N/A
482,Atlantic City High School,Atlantic City,Atlantic City Public School District,2,3,2,39.366993,-74.47706,13,14%,20%,29%,36%,"70,992"
483,Woodstown High School,Woodstown,Woodstown-Pilesgrove Regional School District,5,5,8,39.650646,-75.32153,14,78%,2%,10%,7%,"54,139"
484,Ocean City High School,Ocean City,Ocean City School District,6,6,8,39.2798,-74.56738,13,91%,1%,2%,5%,"90,479"
485,Salem Campus,Woodstown,Salem County Special Services School District,N/A,N/A,N/A,39.624603,-75.36534,N/A,47%,2%,26%,22%,N/A
486,Salem Co Career&Tech High School,Woodstown,Salem County Vocational Technical School District,5,5,5,39.62872,-75.366776,21,82%,1%,7%,6%,"56,420"
487,Penns Grove High School,Penns Grove,Penns Grove-Carneys Point Regional School District,1,1,2,39.71583,-75.458,11,26%,N/A,39%,35%,"69,163"
488,Alternative Middle And High School,Carneys Point Township,Salem County Special Services School District,N/A,N/A,N/A,39.69921,-75.46987,N/A,30%,<1%,37%,30%,"60,000"
489,Salem High School,Salem,Salem City Board Of Education School District,2,2,3,39.560764,-75.48364,8,24%,N/A,63%,11%,"71,338"
490,Cape May Co Tech High School,Middle Township,Cape May County Technical High School District,5,4,6,39.10458,-74.79846,9,83%,2%,3%,10%,"68,255"
491,Evening High School,Cape May Court House,Cape May County Technical High School District,N/A,N/A,N/A,39.1045,-74.795815,N/A,N/A,N/A,N/A,N/A,N/A
492,Evening Vocational Technical School,Cape May Court House,Cape May County Technical High School District,N/A,N/A,N/A,39.1045,-74.795815,N/A,N/A,N/A,N/A,N/A,N/A
493,Cape May County High School,Middle Township,Cape May County Special Services School District,N/A,N/A,N/A,39.101467,-74.79922,N/A,86%,N/A,7%,7%,"81,914"
494,Pennsville Memorial High School,Pennsville,Pennsville Public School District,2,2,3,39.651093,-75.51789,9,88%,1%,2%,5%,"62,405"
495,Middle Twp High School,Middle Township,Middle Township Public School District,3,3,3,39.075382,-74.81931,12,66%,2%,17%,13%,"63,394"
496,Wildwood High School,Wildwood,Wildwood City Board Of Education School District,2,2,2,38.985737,-74.81973,6,34%,<1%,14%,52%,"51,579"
497,Lower Cape May Reg High School,Cape May,Lower Cape May Regional School District,3,4,4,38.977085,-74.90399,11,84%,1%,5%,8%,"80,074"
